지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa)
108,서울,2021-12-01,-1.3,-3,2335,1.5,1541,,,,,,,13.2,290,1357,7.2,290,1249,4.2,3635,270,-10,38,1243,51.8,2.9
108,서울,2021-12-02,1.3,-4.6,724,5,2029,2.58,,,,,.1,8,180,1356,4.6,200,1358,2.1,1833,200,-3.9,49,1154,68.9,4.8
108,서울,2021-12-03,1.9,-1.8,2348,4.6,319,2,,,,,.4,10.7,270,1035,5.8,290,929,2.9,2479,270,-7.2,29,1212,53.3,3.8
108,서울,2021-12-04,1.4,-2.7,420,7,1454,,,,,,,9.3,290,1302,4.8,320,1322,2,1750,270,-8.5,33,1529,48.5,3.2
108,서울,2021-12-05,2.9,-2.3,728,9.6,1423,,,,,,,4.8,50,1000,2.9,70,1002,1.4,1208,20,-6.7,30,1630,50.4,3.7
108,서울,2021-12-06,5.4,-.7,654,12.1,1421,,,,,,,4.4,70,951,2.8,320,1726,1.6,1397,20,-1.7,38,1343,61.4,5.4
108,서울,2021-12-07,6.8,2.6,721,13.3,1512,,,,,,,3.8,230,1528,2.6,200,1529,1.2,1072,50,1,44,1421,68.3,6.6
108,서울,2021-12-08,6.7,1.9,731,13.3,1456,,,,,,,4,50,2259,2.6,50,830,1.5,1324,20,1.2,44,1505,70,6.7
108,서울,2021-12-09,6.5,2.7,526,9.7,1440,,,,,,,5.2,70,912,3.5,70,1935,2.2,1937,50,1.3,58,1431,70.3,6.7
108,서울,2021-12-10,7,5.8,2139,8.2,1441,2.78,,,,,.7,5.3,50,1,3.4,70,530,2.1,1819,50,3.9,68,635,81.5,8.2
108,서울,2021-12-11,6,4.4,753,9.8,1338,,,,,,,7,340,1452,3.6,290,1453,1.4,1180,270,3.3,66,1340,83.6,7.8
108,서울,2021-12-12,1.2,-3.8,2342,5.1,7,,,,,,,11.6,290,1410,6.6,290,1413,3.2,2742,290,-5.9,34,1421,61.8,4.3
108,서울,2021-12-13,-2.2,-5.9,640,1.9,1540,,,,,,,7.7,290,8,4.1,320,144,2.3,1990,270,-13.1,28,1347,43.8,2.2
108,서울,2021-12-14,3.7,-.7,1,8.2,1349,7.58,,,,,1.2,6.4,180,1631,3.6,180,1722,2,1693,50,-2.6,47,1,64.9,5.4
108,서울,2021-12-15,7.2,5.4,2358,10,1226,4.25,,,,,2.1,6.1,250,1520,3.9,270,1526,1.7,1446,270,4.7,66,1418,84.8,8.6
108,서울,2021-12-16,6.4,3.3,2355,9.8,1322,.38,,,,,0,9.1,250,2207,4.6,270,2251,1.8,1582,250,1.3,36,1542,71.6,6.8
108,서울,2021-12-17,-5.6,-10.1,2333,3.2,1,,,,,,,15.2,320,1348,8.1,290,1318,4.6,3985,270,-14.5,32,1312,50.5,2.2
108,서울,2021-12-18,-5.7,-11.2,801,-1.8,1402,4.33,,,,,2.8,7.6,290,108,3.6,270,48,2,1747,20,-12,33,1201,64.1,2.8
108,서울,2021-12-19,-.8,-5.8,811,4.2,1544,1.17,,,,,.2,10.5,270,101,4.9,290,104,2,1712,20,-7.1,40,1200,63.8,3.7
108,서울,2021-12-20,5.2,-.9,1,11.1,1336,.33,,,,,0,9.9,180,1311,5.1,200,1353,2.1,1847,230,1.5,57,1417,77.9,6.9
108,서울,2021-12-21,5.2,.8,2358,8.9,1508,,,,,,,6.9,290,1632,4.4,290,1239,2,1720,290,-.4,35,1804,70.9,6.5
108,서울,2021-12-22,2.2,-2.6,717,8.2,1512,,,,,,,5.1,290,38,3.3,290,42,1.7,1475,270,-8.2,30,1538,47.4,3.3
108,서울,2021-12-23,2.7,-1.5,716,8.3,1451,,,,,,,4.7,290,1404,2.8,290,1411,1.4,1236,290,-6.1,37,1200,53.5,3.9
108,서울,2021-12-24,-.3,-7.3,2400,3.2,1157,2.33,,,,,.2,10.4,290,2340,6.2,290,2345,2.6,2267,270,-6,51,2358,65.3,4.1
108,서울,2021-12-25,-11.7,-14.4,2258,-7.3,1,,,,,,,11,290,45,7,290,38,3.9,3349,290,-22,31,1542,42.4,1.1
108,서울,2021-12-26,-12.1,-15.5,817,-7.3,1526,,,,,,,9,320,815,4.8,290,1404,3.1,2656,290,-22.1,31,1341,43.5,1.1
108,서울,2021-12-27,-7.6,-12.9,123,-3.9,1634,2.08,,,,,0,5.5,340,17,3.1,20,926,1.7,1472,50,-14,38,1146,60.9,2.2
108,서울,2021-12-28,-4.1,-8.5,712,-.9,1600,,,,,,,4.9,50,842,3.1,50,759,2.2,1937,50,-8.2,57,1507,73.8,3.3
108,서울,2021-12-29,.4,-3.8,154,5.9,1518,1.58,,,,,.2,10.8,270,1415,5.9,270,1421,2.6,2286,50,-4,50,1438,72.9,4.6
108,서울,2021-12-30,-3.9,-6.8,714,.2,1531,.5,,,,,0,12.3,320,2012,6.6,290,2012,3.3,2875,270,-13.3,34,1228,48.5,2.2
108,서울,2021-12-31,-6.7,-8.8,745,-3.9,1510,,,,,,,11.9,290,26,5.4,270,154,3.5,3035,270,-19.5,26,1603,35.9,1.3
108,서울,2022-01-01,-4.3,-10.2,710,2.3,1544,,,,,,,4.5,70,923,2.8,20,819,1.5,1335,50,-14.4,31,1329,46.3,2.1
108,서울,2022-01-02,-1.3,-5.2,2356,3,1551,4.17,,,,,.3,8.1,290,1345,4.6,290,1349,2.3,1996,50,-8.8,39,1754,57.9,3.3
108,서울,2022-01-03,-1.9,-8,714,2.5,1542,4,,,,,0,6.9,270,1319,4.1,250,1322,1.8,1555,270,-9.3,35,1152,58.3,3.2
108,서울,2022-01-04,-2.5,-5.6,2400,1,1445,.92,,,,,0,6.8,270,1444,4.2,250,1507,2.4,2048,290,-11.8,28,1606,51.8,2.6
108,서울,2022-01-05,-2.8,-7.8,634,1.9,1518,,,,,,,4.2,50,843,2.9,50,1314,1.7,1510,50,-12.5,34,1402,47.6,2.4
108,서울,2022-01-06,-2.2,-5.9,745,3.3,1604,,,,,,,7.8,290,1417,4.6,290,1419,2.3,2000,270,-12.3,29,1414,47.1,2.4
108,서울,2022-01-07,-1.6,-5.9,634,4.5,1525,,,,,,,5.2,270,1402,3,250,1608,1.5,1317,250,-12,21,1528,47.1,2.5
108,서울,2022-01-08,.3,-5,729,3.7,1623,.17,,,,,0,5.4,180,1534,3.5,200,1632,1.7,1456,250,-5.7,49,1221,64.3,4.2
108,서울,2022-01-09,1.3,-1.2,2353,5.6,1522,,,,,,,4.6,290,507,2.8,270,507,1.7,1441,270,-3.5,46,1606,71.5,4.8
108,서울,2022-01-10,.5,-3.4,735,4.4,1348,3.83,,,,,.9,7.6,250,2359,3.4,250,1433,2,1705,270,-5.1,37,1527,68.3,4.2
108,서울,2022-01-11,-7.4,-10.3,2326,.3,1,1.5,,,,,.2,12.4,320,128,7.2,290,129,4,3442,270,-14.9,39,1538,55.5,2
108,서울,2022-01-12,-7.7,-11.3,223,-3.4,1521,,,,,,,7.1,290,1630,4.2,290,1019,2.4,2089,270,-17,34,1528,47.8,1.6
108,서울,2022-01-13,-6.4,-8.9,2352,-3.1,1456,,,,,,,13.9,320,1320,7.6,270,1308,3.3,2881,270,-16.3,32,1408,45.8,1.7
108,서울,2022-01-14,-4.8,-10.1,750,1.3,1526,,,,,,,6.3,160,1348,3.2,180,1356,1.7,1453,270,-16.3,24,1606,41.8,1.7
108,서울,2022-01-15,-1,-5.3,426,1.8,1545,.92,,,,,0,4.9,20,1055,3.1,50,1045,1.9,1641,50,-10.6,41,1131,48.3,2.8
108,서울,2022-01-16,-2,-7.2,2352,2.4,208,.42,,,,,0,9.4,250,1503,5.7,250,1408,3.3,2808,270,-10.4,29,1427,54.5,3
108,서울,2022-01-17,-5.8,-9.2,518,.1,1317,4.92,,,,,.5,8,230,1706,4.1,270,1337,2.2,1865,270,-12.5,38,1136,59.9,2.4
108,서울,2022-01-18,-5.6,-9.9,744,-.7,1514,,,,,,,6.6,340,1444,4.3,290,1525,2.3,1953,270,-15.3,27,1403,47.9,1.9
108,서울,2022-01-19,-5.3,-7.7,2357,-2.7,1558,7.08,,,,,1.7,8.3,320,1759,4.7,320,2038,2.1,1821,50,-9.6,50,132,72.3,3
108,서울,2022-01-20,-5,-9.8,605,.9,1603,,,,,,,7,320,1922,4.7,320,1927,1.8,1582,270,-11.1,42,1631,63.5,2.6
108,서울,2022-01-21,-2.7,-8.7,755,4.6,1534,,,,,,,5,50,1301,3,50,1144,1.8,1512,20,-10.9,29,1544,55.6,2.7
108,서울,2022-01-22,.3,-5,734,7.1,1512,,,,,,,5.2,290,1854,3.4,290,1855,1.7,1506,20,-8.7,32,1618,52.4,3.2
108,서울,2022-01-23,2,-.6,549,6.7,1411,,,,,,,5.7,70,2329,3.1,250,1212,1.7,1481,270,-6.8,43,1017,52.4,3.7
108,서울,2022-01-24,4.6,1.3,1,8.4,1329,,,,,,,9.6,70,1001,5.5,70,959,3.5,3053,70,-3.6,44,1310,56,4.7
108,서울,2022-01-25,2.8,1.9,822,4.5,1,11.75,,,,,.7,7.7,250,1744,4.9,270,1748,2.3,1991,50,-.4,51,1,80,6
108,서울,2022-01-26,1.3,-1.9,639,6.8,1429,,,,,,,7.7,320,2120,4.6,320,2124,2.2,1913,270,-5.7,33,1709,62.8,4.1
108,서울,2022-01-27,-1.1,-4.6,757,4,1541,,,,,,,7.7,290,2023,4.1,290,2032,2.1,1854,270,-10.5,31,1520,50,2.8
108,서울,2022-01-28,-2.7,-5.9,811,2.1,1516,,,,,,,8.2,290,1613,5.1,290,2324,2.8,2379,270,-11.5,33,1518,51.6,2.5
108,서울,2022-01-29,-3.6,-7.2,741,.9,1531,,,,,,,8.6,320,1426,5.1,320,1429,2.4,2110,290,-13.3,28,1510,48.9,2.2
108,서울,2022-01-30,-2.8,-8,713,2.4,1629,,,,,,,7.8,290,1335,4.6,270,1409,2.2,1911,270,-13.4,27,1510,45.4,2.2
108,서울,2022-01-31,-.7,-6.8,736,4.8,1507,2.75,,,,,1.2,8.7,200,2118,4.3,250,1617,1.9,1673,250,-7.9,39,1229,59,3.5
108,서울,2022-02-01,-1.3,-2.7,2345,.9,1601,4.83,,,,,1.7,9,320,1348,4.4,270,1229,2.6,2271,250,-4.9,59,1509,76.6,4.3
108,서울,2022-02-02,-3.4,-6,541,0,1529,,,,,,,8.3,290,1428,5,250,1408,2.4,2053,270,-10.4,36,1453,60.5,2.8
108,서울,2022-02-03,-3.4,-6.9,746,.4,1458,,,,,,,8.2,270,1611,4.6,270,1601,2.4,2088,270,-12.2,34,1235,52.4,2.4
108,서울,2022-02-04,-5.2,-8.2,2356,-.7,1404,.67,,,,,0,12.3,290,2019,6.5,290,2019,3.1,2648,270,-13.4,35,1134,53.3,2.2
108,서울,2022-02-05,-6.6,-9.7,742,-2,1508,,,,,,,11.9,270,1637,6.8,270,1521,3.1,2716,270,-15.7,36,1609,48.8,1.8
108,서울,2022-02-06,-3.9,-8.4,500,1.7,1537,,,,,,,11.4,290,1253,5.4,290,1301,2.5,2178,270,-13,31,1533,50.3,2.3
108,서울,2022-02-07,-2.5,-7.3,510,1.9,1259,,,,,,,9.7,290,1358,4.6,290,1424,1.8,1537,270,-11.6,31,1313,51.3,2.6
108,서울,2022-02-08,-.1,-4.1,629,5.6,1555,,,,,,,6.8,320,1335,3.7,290,1440,1.9,1648,270,-9,26,1556,53.8,3.1
108,서울,2022-02-09,1,-4.3,757,7.2,1400,,,,,,,5.7,320,2112,3.5,290,2101,1.8,1591,20,-8.4,26,1527,52.3,3.2
108,서울,2022-02-10,1.4,-3.2,707,6.7,1544,,,,,,,8.8,320,1439,4.9,320,1447,2.3,1949,270,-6.3,33,1335,57.8,3.9
108,서울,2022-02-11,2.9,-2.6,740,8.8,1449,,,,,,,6.8,270,1439,3.5,250,1447,1.8,1553,270,-4.3,34,1453,61.1,4.5
108,서울,2022-02-12,4.8,-.1,727,10.4,1605,,,,,,,6.7,250,1433,3.8,270,1516,1.7,1461,270,-6.1,22,1409,50.4,4.1
108,서울,2022-02-13,4.8,1.6,330,9.5,1616,,,,,,,5.4,340,1413,3.5,320,1507,1.8,1543,50,-6.3,32,1634,44.9,3.9
108,서울,2022-02-14,2.5,-1.3,2352,8.1,1248,2.42,,,,,1.7,10.2,230,1426,5.7,270,1554,2.9,2470,70,-3,43,1414,68.3,5
108,서울,2022-02-15,-4.7,-7.7,2321,-1.3,1,12.17,,,,,0,9.9,270,25,5.7,270,447,3.8,3315,270,-11.8,44,2013,58,2.5
108,서울,2022-02-16,-7.3,-9.6,2400,-4.1,1526,.33,,,,,0,11.4,270,1259,6.8,270,1308,3.7,3203,290,-16.1,32,1359,50.4,1.8
108,서울,2022-02-17,-6.2,-10.7,752,-.5,1554,,,,,,,10.4,290,248,4.9,290,250,2.5,2171,270,-17.3,28,1559,41.6,1.6
108,서울,2022-02-18,-1.2,-8,716,5.7,1531,,,,,,,6.1,290,1809,3.6,270,1731,2,1720,20,-13.5,21,1526,40.4,2.2
108,서울,2022-02-19,-1.7,-6.2,2345,3.7,1403,2.17,,,,,.1,11.5,290,2010,6.6,290,1959,2.9,2531,290,-10.3,38,1500,52.9,2.9
108,서울,2022-02-20,-4.8,-8.4,703,-.5,1548,,,,,,,11,270,1502,6.3,290,1145,4.1,3503,270,-16.3,24,1619,41.1,1.7
108,서울,2022-02-21,-3,-8.1,623,3.6,1415,2.58,,,,,.1,13.1,250,1336,7.1,270,1528,2.9,2514,270,-10.6,41,1413,56.3,2.8
108,서울,2022-02-22,-4.5,-8,2400,.5,1438,,,,,,,11.9,270,1946,5.6,320,1952,3.2,2748,270,-15.2,33,938,43.3,1.9
108,서울,2022-02-23,-5.6,-10,721,-.6,1623,,,,,,,10,320,1447,5.5,290,1450,2.6,2220,270,-18,24,1550,38.5,1.5
108,서울,2022-02-24,-2.4,-8.5,508,3.7,1454,,,,,,,10.2,230,1501,5,320,1232,2.2,1880,290,-11.1,31,1113,52.4,2.8
108,서울,2022-02-25,3,-3.6,716,8.4,1537,,,,,,,8.4,250,1255,4.8,250,1555,2.3,2009,230,-.7,55,1234,77.5,5.9
108,서울,2022-02-26,5.4,1,2355,9.3,1313,3.58,,,,,1.1,14.5,290,2110,7.2,290,2116,3.9,3369,200,1.8,63,1325,78.4,7.1
108,서울,2022-02-27,3.7,-1.6,730,9.1,1513,,,,,,,12.3,200,1501,7.4,250,1442,2.8,2453,230,-4.5,33,1144,56.6,4.5
108,서울,2022-02-28,6.8,2.7,48,11.5,1626,,,,,,,6.1,250,2254,3.3,200,2212,1.5,1297,200,-.5,36,1622,62.3,6
