연번,행정동,노선명,기점,종점,열선연장(m) (1차로 기준),차로수,설치년도,설치월,비고
1,구의2동,동의초 통학로,구의2동 34-8,구의2동 81-3,278,2,2022,11,
2,구의2동,동의초 통학로,구의2동 23-26,구의2동 23-30,76,2,2022,11,
3,중곡4동,용곡초 통학로,용곡초등학교,용곡초등학교,76,1,2022,11,
4,중곡3동,용마산로33길,중곡3동 194-19,중곡3동 608-6,160,2,2022,11,
5,광장동,광진정보도서관,아차산로78길 90,아차산로78길 90,140,2,2022,11,
6,광장동,현대리버빌 앞,아차산로78가길 17,아차산로78가길 17,140,2,2022,11,
7,중곡4동,용암사입구,중곡4동 176-144,중곡4동 176-42,229,1~1.5,2023,09,
8,중곡4동,뻥튀기골,중곡4동 297-6,중곡4동 176-110,348,1.5,2023,09,
9,중곡4동,용마산로34길,중곡4동 289-2,중곡4동 287-2,187,1,2023,09,
10,중곡4동,용마산로32길,중곡4동 289-10,중곡4동 294-1,237,1,2023,09,
11,중곡4동,대원외고 앞,중곡4동 21-11,중곡4동 271-1,260,2,2023,09,
12,구의2동,영화사로16길,구의2동 143-1,구의2동 21-32,170,1,2023,09,
13,구의2동,영화사로11길,구의2동 556-6,구의2동 549-3,210,1,2023,11,
14,구의2동,영화사로13길,구의2동 558-11,구의2동 551-2,220,1,2023,11,
15,구의2동,영화사로16가길,구의2동 22-34,구의2동 22-27,50,1,2023,11,
16,구의2동,영화사로9가길,구의2동 549-3,중곡4동 104-11,70,1,2023,11,
17,중곡4동,긴고랑로41길,중곡4동 70-12,중곡4동 69-5,67,1,2024,09,
18,중곡3동,능동로55길,중곡3동 168-1,중곡3동 169-11,60,2,2024,09,
19,중곡4동,용마산로36길,중곡4동 605-1,중곡4동 599-2,170,1,2024,09,
20,중곡2동,능동로48길,중곡2동 36-2,중곡2동 35-2,30,1,2024,09,
21,구의2동,자양로44길 구의2동 어린이집,구의2동 43-11,구의2동 36-20,90,1,2024,06,
22,자양1동,자양로13다길 경복초 통학로,자양1동 609-17,자양1동 609-16,30,2,2024,06,
23,자양1동,자양로13다길,자양1동 609-17,자양1동 609-16,30,2,2024,06,
24,자양1동,뚝섬로59길,자양1동 659-20,자양1동 659-32,40,1,2024,06,
25,자양1동,자양번영로8길,자양1동 610,자양1동 611-5,25,1,2024,06,
26,능동,능동로30길23,능동 320-56,능동 320-58,50,2,2024,06,
27,광장동,아차산로78길12,광장동 121,광장동 148-4,150,2,2024,07,
28,광장동,아차산로75길,광장동 244-24,광장동 241-1,40,2,2024,07,
29,구의2동,천호대로137길,구의동 57-30,구의동 57-120,55,1,2024,07,
30,중곡4동,긴고랑로39길,중곡동 71,중곡동 72-10,50,1,2024,10,
31,화양동,능동로 17길,화양동 132-34,화양동 132-63,30,1,2024,10,
32,구의2동,동의초 통학로 보도열선,구의동 662,구의동 23-29,30,1,2024,10,
33,중곡4동,용마산로8가길,중곡동 150-323,중곡동 150-300,60,1~2,,,2025년 상반기 설치 예정
34,구의2동,자양로44길,구의동 37-9,구의동 33-1,240,1~2,,,2025년 상반기 설치 예정
35,능동,천호대로110길,능동 225-5,능동 284-1,50,1~2,,,2025년 상반기 설치 예정
36,구의3동,아차산로58가길,구의동 591,구의동 591-5,30,1~2,,,2025년 상반기 설치 예정
37,구의2동,자양로41길,구의동 75-6,구의동 77-33,30,1~2,,,2025년 상반기 설치 예정
38,광장동,아차산로78길,광장동 107,광장동 102,86,1~2,,,2025년 상반기 설치 예정
39,자양2동,자양로4길,뚝섬로64길 45,구의강변로11,110,1~2,,,2025년 상반기 설치 예정
40,화양동,능동로,화양동 111-12,화양동 111-117,45,1~2,,,2025년 상반기 설치 예정
41,구의1동,자양로163,구의동 254-36,구의동 254-44,70,1~2,,,2025년 상반기 설치 예정
