연번,관리번호,도로명주소,상세위치,위도,경도,관리기관,관리부서,데이터기준일
1,광진-1,서울특별시 광진구 광나루로 619,올림픽대교 북단사거리,37.54107 ,127.09620 ,서울특별시 광진구청,도로과,2025-03-05
2,광진-2,서울특별시 광진구 광나루로 595,워커힐길 입구,37.54266 ,127.09440 ,서울특별시 광진구청,도로과,2025-03-05
3,광진-3,서울특별시 광진구 광나루로 553,구의 래미안 공인중개사,37.54482 ,127.09030 ,서울특별시 광진구청,도로과,2025-03-05
4,광진-4,서울특별시 광진구 자양로 197,구의 사거리,37.54520 ,127.08510 ,서울특별시 광진구청,도로과,2025-03-05
5,광진-5,서울특별시 광진구 자양로 117,보건소 후문,37.53883 ,127.08210 ,서울특별시 광진구청,도로과,2025-03-05
6,광진-6,서울특별시 광진구 자양로 117,광진구청 후문,37.53908 ,127.08280 ,서울특별시 광진구청,도로과,2025-03-05
7,광진-7,서울특별시 광진구 자양로 117,광진구청 상황실 앞,37.53816 ,127.08280 ,서울특별시 광진구청,도로과,2025-03-05
8,광진-8,서울특별시 광진구 자양로 ,잠실대교 입구,37.53074 ,127.08680 ,서울특별시 광진구청,도로과,2025-03-05
9,광진-9,서울특별시 광진구 자양로 48,뚝섬길 입구,37.53238 ,127.08550 ,서울특별시 광진구청,도로과,2025-03-05
10,광진-10,서울특별시 광진구 아차산로58길 77,한양빌라 (구3),37.53424 ,127.09000 ,서울특별시 광진구청,도로과,2025-03-05
11,광진-11,서울특별시 광진구 구의강변로 69,구남초교,37.53718 ,127.09280 ,서울특별시 광진구청,도로과,2025-03-05
12,광진-12,서울특별시 광진구 아차산로 419,플랜에이치헤어 앞,37.53803 ,127.08920 ,서울특별시 광진구청,도로과,2025-03-05
13,광진-13,서울특별시 광진구 자양로 95,자양사거리 (교통섬),37.53658 ,127.08340 ,서울특별시 광진구청,도로과,2025-03-05
14,광진-14,서울특별시 광진구 뚝섬로 587,자양3제일은행 앞,37.53330 ,127.07550 ,서울특별시 광진구청,도로과,2025-03-05
15,광진-15,서울특별시 광진구 능동로 50,신양초사거리(농협),37.53532 ,127.06880 ,서울특별시 광진구청,도로과,2025-03-05
16,광진-16,서울특별시 광진구 동일로 50,영동대교 북단사거리,37.53727 ,127.06140 ,서울특별시 광진구청,도로과,2025-03-05
17,광진-17,서울특별시 광진구 능동로 110,건대역 사거리,37.54031 ,127.07080 ,서울특별시 광진구청,도로과,2025-03-05
18,광진-18,서울특별시 광진구 능동로 160,음악공간(구 민중병원),37.54498 ,127.07310 ,서울특별시 광진구청,도로과,2025-03-05
