지점,지점명,일시,일 최심적설(cm),일 최심적설 시각(hhmi)
108,서울,2020-01-01,0,
108,서울,2020-01-19,.3,955
108,서울,2020-02-04,.8,1945
108,서울,2020-02-05,.7,1
108,서울,2020-02-16,3.9,1300
108,서울,2020-02-17,5.5,600
108,서울,2020-02-18,2,1
108,서울,2020-12-13,3.2,1000
108,서울,2020-12-14,1.7,1
108,서울,2020-12-15,1,1
108,서울,2020-12-16,.8,1
108,서울,2020-12-17,.7,1
108,서울,2020-12-18,.6,455
108,서울,2021-01-04,0,
108,서울,2021-01-05,0,
108,서울,2021-01-06,3.8,2055
108,서울,2021-01-07,3.3,1
108,서울,2021-01-08,1.1,1
108,서울,2021-01-09,1,1
108,서울,2021-01-10,.7,1
108,서울,2021-01-11,.4,1
108,서울,2021-01-12,5.1,1955
108,서울,2021-01-13,5,1
108,서울,2021-01-17,.1,2100
108,서울,2021-01-18,1,1030
108,서울,2021-01-28,3.6,1040
108,서울,2021-01-29,.7,1
108,서울,2021-01-30,.8,950
108,서울,2021-02-03,4.2,2355
108,서울,2021-02-04,4.3,30
108,서울,2021-02-05,1.4,1
108,서울,2021-02-16,1.1,1355
108,서울,2021-02-17,.9,1
108,서울,2021-02-18,.2,1
108,서울,2021-03-01,2.3,2350
108,서울,2021-03-02,2.3,1
108,서울,2021-12-18,4.4,2355
108,서울,2021-12-19,4.6,55
108,서울,2021-12-20,1.8,1
108,서울,2021-12-29,.3,455
108,서울,2022-01-02,.5,655
108,서울,2022-01-10,.9,2355
108,서울,2022-01-11,1,100
108,서울,2022-01-12,.2,1
108,서울,2022-01-17,.8,1745
108,서울,2022-01-18,.5,1
108,서울,2022-01-19,3.5,1340
108,서울,2022-01-20,2.4,1
108,서울,2022-01-31,1.8,2335
108,서울,2022-02-01,5,555
108,서울,2022-02-02,.5,1
108,서울,2022-02-19,.1,1730
108,서울,2022-03-19,.7,1050
108,서울,2022-12-03,1,830
108,서울,2022-12-06,.3,955
108,서울,2022-12-13,.8,1835
108,서울,2022-12-14,.5,1
108,서울,2022-12-15,4.5,1455
108,서울,2022-12-16,4.1,1
108,서울,2022-12-17,1.9,755
108,서울,2022-12-18,1.5,1
108,서울,2022-12-19,1.4,1
108,서울,2022-12-20,1.1,1
108,서울,2022-12-21,3.5,955
108,서울,2022-12-22,1.9,1
108,서울,2022-12-23,1.8,1
108,서울,2022-12-24,1.7,1
108,서울,2022-12-25,1.6,1
108,서울,2022-12-26,1.2,1
108,서울,2022-12-27,.3,1
108,서울,2022-12-28,.4,350
108,서울,2023-01-06,3.6,2320
108,서울,2023-01-07,3.6,1
108,서울,2023-01-15,.6,1055
108,서울,2023-01-16,.3,1
108,서울,2023-01-26,4.5,1055
108,서울,2023-01-27,1.7,1
108,서울,2023-12-16,1,850
108,서울,2023-12-19,.9,2355
108,서울,2023-12-20,2.1,145
108,서울,2023-12-21,.5,1
108,서울,2023-12-22,.4,1
108,서울,2023-12-23,.2,1
108,서울,2023-12-24,1.5,750
108,서울,2023-12-25,3,1120
108,서울,2023-12-30,12.2,1500
108,서울,2023-12-31,8.8,1
108,서울,2024-01-01,2.4,1
108,서울,2024-01-06,6,2055
108,서울,2024-01-07,5.6,1
108,서울,2024-01-08,1.5,1
108,서울,2024-01-09,3.1,1650
108,서울,2024-01-10,3,1
108,서울,2024-01-11,2,1
108,서울,2024-01-17,2.3,1550
108,서울,2024-01-18,1.1,1
108,서울,2024-01-22,2.3,655
108,서울,2024-02-05,3.6,2355
108,서울,2024-02-06,3.8,255
108,서울,2024-02-15,1.5,1420
108,서울,2024-02-21,5.2,2355
108,서울,2024-02-22,13.8,755
108,서울,2024-02-23,10.2,1
108,서울,2024-02-24,2,1
108,서울,2024-02-25,.2,655
108,서울,2024-11-26,.9,2355
108,서울,2024-11-27,20.1,2355
108,서울,2024-11-28,28.6,755
108,서울,2024-11-29,12.3,1
108,서울,2024-11-30,7.9,1
108,서울,2024-12-01,5.3,1
108,서울,2024-12-20,.5,2355
108,서울,2024-12-21,2.7,735
108,서울,2024-12-22,1.4,1
108,서울,2024-12-23,.7,1
108,서울,2025-01-05,6.4,1240
108,서울,2025-01-06,3.9,1
108,서울,2025-01-07,.4,1840
108,서울,2025-01-08,.2,1
108,서울,2025-01-13,.1,1655
108,서울,2025-01-14,.1,1
108,서울,2025-01-27,2.6,2345
108,서울,2025-01-28,2.8,330
108,서울,2025-01-29,2.9,445
108,서울,2025-01-30,.4,1
108,서울,2025-01-31,2.9,1955
108,서울,2025-02-01,2.8,1
108,서울,2025-02-06,3.3,1655
108,서울,2025-02-07,2.8,655
108,서울,2025-02-08,1.5,1
108,서울,2025-02-09,.7,1
108,서울,2025-02-12,2.1,1015
108,서울,2025-02-13,.5,1
108,서울,2025-03-03,1.1,655
108,서울,2025-03-04,3.4,1255
108,서울,2025-03-17,.3,2355
108,서울,2025-03-18,8.9,755
108,서울,2025-04-12,.2,2359
108,서울,2025-04-13,.6,100
